state,model,RMSE,MAE,MAPE,R2,RMSE_normalized,test_mean,naive_rmse,arima_rmse,improvement_vs_naive_%,improvement_vs_arima_%
Baden-Württemberg,AutoARIMA,71053.53136755414,44389.0,38.7910505285915,-0.3058611783798906,[2.20266388],[32258.],71053.53136755414,71053.53136755414,0.0,0.0
Bayern,AutoARIMA,79753.74201753797,52738.6,42.98226706021346,-0.38075857941190616,[2.16786925],[36789.],79753.74201753797,79753.74201753797,0.0,0.0
Berlin,AutoARIMA,32254.580536723774,23899.2,45.857783305867024,-0.3403367924444347,[1.75134824],[18417.],32254.580536723774,32254.580536723774,0.0,0.0
Brandenburg,AutoARIMA,16419.783616113826,10502.8,44.47935192860796,-0.5542365680047523,[2.78915978],[5887.],16419.783616113826,16419.783616113826,0.0,0.0
Bremen,AutoARIMA,6603.997804360628,5057.0,55.59350796005185,-0.9583442688563353,[1.9031694],[3470.],6603.997804360628,6603.997804360628,0.0,0.0
Hamburg,AutoARIMA,19270.064556197,13865.2,50.53734826220686,-1.073438133527699,[2.2962422],[8392.],19270.064556197,19270.064556197,0.0,0.0
Hessen,AutoARIMA,42588.55543687764,28243.8,40.144416247714005,-0.3007679004651649,[1.69190193],[25172.],42588.55543687764,42588.55543687764,0.0,0.0
Mecklenburg-Vorpommern,AutoARIMA,10935.270321304362,7223.0,46.03427664439914,-0.6546188844393044,[2.77897594],[3935.],10935.270321304362,10935.270321304362,0.0,0.0
Niedersachsen,AutoARIMA,51909.96586398415,30560.0,34.45809653010796,-0.31588798587181244,[2.08206184],[24932.],51909.96586398415,51909.96586398415,0.0,0.0
Nordrhein-Westfalen,AutoARIMA,112212.58757911253,75236.0,48.158239607564795,-0.4267865774973807,[2.7596426],[40662.],112212.58757911253,112212.58757911253,0.0,0.0
Rheinland-Pfalz,AutoARIMA,24116.467668379628,15119.6,32.34002788438903,-0.4764745449542942,[1.48573606],[16232.],24116.467668379628,24116.467668379628,0.0,0.0
Saarland,AutoARIMA,7399.93202671484,5025.2,41.51115088546355,-0.8415677032734554,[1.95351954],[3788.],7399.93202671484,7399.93202671484,0.0,0.0
Sachsen,AutoARIMA,30500.15427829833,20532.2,49.35471620152527,-0.6652638446944839,[3.22071323],[9470.],30500.15427829833,30500.15427829833,0.0,0.0
Sachsen-Anhalt,AutoARIMA,19587.093734919294,14846.567259464704,72.58282899096201,-1.5393639957499725,[3.7251985],[5258.],16745.30355651996,19587.093734919294,-16.970669828752385,0.0
Schleswig-Holstein,AutoARIMA,15002.286032468519,10493.4,40.45783341908327,-0.47334017342084356,[1.75629666],[8542.],15002.286032468519,15002.286032468519,0.0,0.0
Thüringen,AutoARIMA,14663.984083926669,9616.871033360465,46.78458209809004,-0.4181123967223994,[2.71404481],[5403.],15562.72884169097,14663.984083926669,5.7749817972581745,0.0
Baden-Württemberg,Naive,71053.53136755414,44389.0,38.7910505285915,-0.3058611783798906,[2.20266388],[32258.],71053.53136755414,71053.53136755414,0.0,0.0
Bayern,Naive,79753.74201753797,52738.6,42.98226706021346,-0.38075857941190616,[2.16786925],[36789.],79753.74201753797,79753.74201753797,0.0,0.0
Berlin,Naive,32254.580536723774,23899.2,45.857783305867024,-0.3403367924444347,[1.75134824],[18417.],32254.580536723774,32254.580536723774,0.0,0.0
Brandenburg,Naive,16419.783616113826,10502.8,44.47935192860796,-0.5542365680047523,[2.78915978],[5887.],16419.783616113826,16419.783616113826,0.0,0.0
Bremen,Naive,6603.997804360628,5057.0,55.59350796005185,-0.9583442688563353,[1.9031694],[3470.],6603.997804360628,6603.997804360628,0.0,0.0
Hamburg,Naive,19270.064556197,13865.2,50.53734826220686,-1.073438133527699,[2.2962422],[8392.],19270.064556197,19270.064556197,0.0,0.0
Hessen,Naive,42588.55543687764,28243.8,40.144416247714005,-0.3007679004651649,[1.69190193],[25172.],42588.55543687764,42588.55543687764,0.0,0.0
Mecklenburg-Vorpommern,Naive,10935.270321304362,7223.0,46.03427664439914,-0.6546188844393044,[2.77897594],[3935.],10935.270321304362,10935.270321304362,0.0,0.0
Niedersachsen,Naive,51909.96586398415,30560.0,34.45809653010796,-0.31588798587181244,[2.08206184],[24932.],51909.96586398415,51909.96586398415,0.0,0.0
Nordrhein-Westfalen,Naive,112212.58757911253,75236.0,48.158239607564795,-0.4267865774973807,[2.7596426],[40662.],112212.58757911253,112212.58757911253,0.0,0.0
Rheinland-Pfalz,Naive,24116.467668379628,15119.6,32.34002788438903,-0.4764745449542942,[1.48573606],[16232.],24116.467668379628,24116.467668379628,0.0,0.0
Saarland,Naive,7399.93202671484,5025.2,41.51115088546355,-0.8415677032734554,[1.95351954],[3788.],7399.93202671484,7399.93202671484,0.0,0.0
Sachsen,Naive,30500.15427829833,20532.2,49.35471620152527,-0.6652638446944839,[3.22071323],[9470.],30500.15427829833,30500.15427829833,0.0,0.0
Sachsen-Anhalt,Naive,16745.30355651996,11660.4,52.1861637440285,-0.8559702218718106,[3.18472871],[5258.],16745.30355651996,19587.093734919294,0.0,14.50848306981384
Schleswig-Holstein,Naive,15002.286032468519,10493.4,40.45783341908327,-0.47334017342084356,[1.75629666],[8542.],15002.286032468519,15002.286032468519,0.0,0.0
Thüringen,Naive,15562.72884169097,10549.4,48.9377571884248,-0.5972694802306562,[2.88038661],[5403.],15562.72884169097,14663.984083926669,0.0,-6.128926167816999
Baden-Württemberg,LinearReg,62535.31417852915,41834.13557823111,41.736050217558365,-0.011524365931135705,[1.93859862],[32258.],71053.53136755414,71053.53136755414,11.988450151704555,11.988450151704555
Bayern,LinearReg,64152.95479099479,42240.10547927029,40.60540339230029,0.10659384452883569,[1.74380806],[36789.],79753.74201753797,79753.74201753797,19.561197796979286,19.561197796979286
Berlin,LinearReg,42184.21169255978,32751.792898711377,56.46255120165968,-1.2926144108316113,[2.29050397],[18417.],32254.580536723774,32254.580536723774,-30.785181486178452,-30.785181486178452
Brandenburg,LinearReg,13145.326016071678,8615.68622491546,47.14406028567879,0.0038494327773578307,[2.2329414],[5887.],16419.783616113826,16419.783616113826,19.94214830473591,19.94214830473591
Bremen,LinearReg,6606.551485467205,5080.035774186504,58.64298114445546,-0.9598590948197578,[1.90390533],[3470.],6603.997804360628,6603.997804360628,-0.038668715257454106,-0.038668715257454106
Hamburg,LinearReg,16971.477956544524,11103.299443425483,35.895729536555805,-0.6082889245106777,[2.02234008],[8392.],19270.064556197,19270.064556197,11.928276591648894,11.928276591648894
Hessen,LinearReg,41830.110951147406,26928.184600408742,36.85067079073433,-0.2548506074038632,[1.66177145],[25172.],42588.55543687764,42588.55543687764,1.7808645490555806,1.7808645490555806
Mecklenburg-Vorpommern,LinearReg,8740.626708816064,5703.371098266249,44.49464666823248,-0.05711948031822711,[2.22125202],[3935.],10935.270321304362,10935.270321304362,20.06940430372937,20.06940430372937
Niedersachsen,LinearReg,43224.8119637945,28761.786050965507,44.30986837321636,0.08760339500611714,[1.73370816],[24932.],51909.96586398415,51909.96586398415,16.731187847333054,16.731187847333054
Nordrhein-Westfalen,LinearReg,90463.88111732747,59004.8092146134,46.17987433648652,0.07268711801200378,[2.22477697],[40662.],112212.58757911253,112212.58757911253,19.381699442989586,19.381699442989586
Rheinland-Pfalz,LinearReg,20921.434469738455,12565.06545140629,27.63523327233964,-0.11117250478163321,[1.2889006],[16232.],24116.467668379628,24116.467668379628,13.24834649325676,13.24834649325676
Saarland,LinearReg,7439.98732824667,4961.497167208976,41.47689978509047,-0.8615582087235771,[1.9640938],[3788.],7399.93202671484,7399.93202671484,-0.5412928306263433,-0.5412928306263433
Sachsen,LinearReg,23111.825087458248,16091.339395190178,51.34318636789777,0.043802806127501426,[2.44053063],[9470.],30500.15427829833,30500.15427829833,24.223907601992277,24.223907601992277
Sachsen-Anhalt,LinearReg,12687.102607510562,7420.282184892107,36.81956331747963,-0.06539304873004292,[2.41291415],[5258.],16745.30355651996,19587.093734919294,24.234860450942946,35.22723289523872
Schleswig-Holstein,LinearReg,12639.452827280957,8755.925592987094,38.89885240914081,-0.04579050577312871,[1.47968308],[8542.],15002.286032468519,15002.286032468519,15.749821061095815,15.749821061095815
Thüringen,LinearReg,14003.808179339212,8702.463746629955,41.76103037521765,-0.2932991701651635,[2.59185789],[5403.],15562.72884169097,14663.984083926669,10.01701358553243,4.502022784592912
Baden-Württemberg,RandomForest,63065.72691193909,51557.501141428846,72.17313094849516,-0.028756253690367828,[1.95504144],[32258.],71053.53136755414,71053.53136755414,11.241952795132427,11.241952795132427
Bayern,RandomForest,71418.57949310525,49866.12186839371,53.03123494386123,-0.10723046793796076,[1.94130255],[36789.],79753.74201753797,79753.74201753797,10.451124064623576,10.451124064623576
Berlin,RandomForest,29574.495308160094,22646.883705289434,50.899069601160214,-0.12684926726836698,[1.60582588],[18417.],32254.580536723774,32254.580536723774,8.309161625934777,8.309161625934777
Brandenburg,RandomForest,15170.469264264915,9177.391664786659,37.45743137690045,-0.3267231080156856,[2.57694399],[5887.],16419.783616113826,16419.783616113826,7.608592056127191,7.608592056127191
Bremen,RandomForest,6093.7080821657455,4530.469628939682,51.49879582424522,-0.6673949896508917,[1.75611184],[3470.],6603.997804360628,6603.997804360628,7.726982008654478,7.726982008654478
Hamburg,RandomForest,19255.382117582318,13874.043868282035,50.77367188008172,-1.0702797081614386,[2.29449263],[8392.],19270.064556197,19270.064556197,0.07619299132011445,0.07619299132011445
Hessen,RandomForest,40383.46265385342,27709.723718897487,45.472073542672845,-0.16955621523549858,[1.60430092],[25172.],42588.55543687764,42588.55543687764,5.177665127178323,5.177665127178323
Mecklenburg-Vorpommern,RandomForest,10383.164333904479,6711.860871338475,43.82625222581298,-0.4917580334904541,[2.63866946],[3935.],10935.270321304362,10935.270321304362,5.0488554116879705,5.0488554116879705
Niedersachsen,RandomForest,44133.988151832214,39365.71392415387,78.92090083403836,0.04881764907330033,[1.7701744],[24932.],51909.96586398415,51909.96586398415,14.979739598609553,14.979739598609553
Nordrhein-Westfalen,RandomForest,86917.8018142164,68090.67385289157,59.20024514883478,0.14396143685691065,[2.13756829],[40662.],112212.58757911253,112212.58757911253,22.541843397972368,22.541843397972368
Rheinland-Pfalz,RandomForest,26693.64903223617,18248.18235090836,41.484179643394825,-0.8088995961105423,[1.6445077],[16232.],24116.467668379628,24116.467668379628,-10.686396529105387,-10.686396529105387
Saarland,RandomForest,6558.532539670754,4149.254883842446,32.54095811124701,-0.4465904182217397,[1.73139719],[3788.],7399.93202671484,7399.93202671484,11.37036778184597,11.37036778184597
Sachsen,RandomForest,29577.652068871586,19667.07093430896,47.38048351666255,-0.5660526995828921,[3.12330011],[9470.],30500.15427829833,30500.15427829833,3.024582108698149,3.024582108698149
Sachsen-Anhalt,RandomForest,16851.69036136709,11737.09388902062,52.134100041909164,-0.8796279556777562,[3.20496203],[5258.],16745.30355651996,19587.093734919294,-0.6353232384712881,13.965335595834752
Schleswig-Holstein,RandomForest,15124.485378183204,11339.689122403119,50.99419714141256,-0.4974397615746309,[1.77060236],[8542.],15002.286032468519,15002.286032468519,-0.8145381673847372,-0.8145381673847372
Thüringen,RandomForest,14049.1716442272,8804.780404962643,40.65597305749834,-0.30169168099879595,[2.60025387],[5403.],15562.72884169097,14663.984083926669,9.72552572791157,4.192669851390318
Baden-Württemberg,XGBoost,58825.30958751932,55222.9859375,77.53614996061441,0.10493593915589505,[1.82358824],[32258.],71053.53136755414,71053.53136755414,17.209871972132145,17.209871972132145
Bayern,XGBoost,75627.05119573158,61525.0046875,76.4342483061646,-0.2415663860693742,[2.05569739],[36789.],79753.74201753797,79753.74201753797,5.174291158525108,5.174291158525108
Berlin,XGBoost,30033.042419423808,22937.81015625,52.01796384090794,-0.16206334241152787,[1.63072392],[18417.],32254.580536723774,32254.580536723774,6.887512038082813,6.887512038082813
Brandenburg,XGBoost,17469.95888819102,11922.559912109375,55.40586676266459,-0.759405841523942,[2.96754865],[5887.],16419.783616113826,16419.783616113826,-6.395792396719453,-6.395792396719453
Bremen,XGBoost,7553.346134305959,5735.682641601563,57.88001752390371,-1.5618516341254964,[2.17675681],[3470.],6603.997804360628,6603.997804360628,-14.375358049308787,-14.375358049308787
Hamburg,XGBoost,16023.384297622546,9464.9232421875,29.580527971577,-0.43361732228170946,[1.90936419],[8392.],19270.064556197,19270.064556197,16.848310233243954,16.848310233243954
Hessen,XGBoost,44399.89379735717,36326.3,81.54016988441285,-0.4137670475687605,[1.76386039],[25172.],42588.55543687764,42588.55543687764,-4.253110587806123,-4.253110587806123
